total_delinquent,lat,long
24077.75,37.540759,-77.433932
8930.14,37.555928,-77.465753
2201.29,37.547155,-77.47425
340.45,37.536891,-77.409705
526.87,37.531645,-77.407514
67.64,37.540759,-77.433932
1080.53,37.469382,-77.439528
6232.07,37.540759,-77.433932
65.44,37.540759,-77.433932
1060.48,37.577719,-77.427783
123.51,37.532272,-77.399407
892.13,37.506313,-77.443812
245.09,37.556587,-77.451028
103.14,37.479272,-77.450988
12.66,37.536453,-77.411335
668.83,37.524744,-77.403655
77.32,37.582652,-77.419014
340.26,37.512515,-77.396518
2796.35,37.47684,-77.466267
62.09,37.506654,-77.51008
30.6,37.540759,-77.433932
597.86,37.481942,-77.479354
1194.1,37.582194,-77.434764
1907.04,37.579625,-77.416629
231.95,37.542134,-77.403047
1299.08,37.552616,-77.413546
208.26,37.550292,-77.408638
1080.81,37.547022,-77.409854
1271.02,37.5818,-77.421873
974.32,37.531987,-77.544643
1440.97,37.532989,-77.40524
1147.16,37.478963,-77.497789
121.64,37.513591,-77.46093
1831.89,37.572229,-77.435027
115.01,37.518905,-77.394987
1922.55,37.533174,-77.399438
265.45,37.517209,-77.444859
1551.39,37.514773,-77.454578
1086.06,37.574034,-77.437271
510.89,37.541906,-77.413115
1043.63,37.545668,-77.408293
17073.48,37.539335,-77.435941
36.89,37.510791,-77.402957
908.06,37.542943,-77.416639
1534.73,37.580284,-77.419058
759.1,37.551119,-77.411917
1881.23,37.518688,-77.393294
56.12,37.509938,-77.402838
285.54,37.513711,-77.452804
934.25,37.501848,-77.442929
255.54,37.549039,-77.409184
2017.49,37.508681,-77.514456
1293.48,37.471229,-77.478973
326.13,37.529987,-77.407482
895.98,37.476554,-77.439674
157.13,37.515928,-77.453852
60.24,37.532281,-77.399352
1198.19,37.475043,-77.481561
335.7,37.514205,-77.446058
1089.54,37.464102,-77.453653
284.53,37.546336,-77.41482
519.84,37.549302,-77.400629
476.41,37.511433,-77.396974
662.53,37.499682,-77.475764
1832.77,37.514934,-77.449676
83.29,37.562868,-77.433239
3534.86,37.54515,-77.588377
335.7,37.51815,-77.444876
297.54,37.528566,-77.517996
1654.61,37.483523,-77.495647
902.18,37.533394,-77.430583
360.87,37.521562,-77.507179
132.8,37.555403,-77.44137
97.8,37.520849,-77.450123
520.72,37.477319,-77.440756
180.57,37.514456,-77.452207
2869.27,37.571564,-77.434126
194.27,37.550292,-77.408638
193.48,37.583359,-77.434869
448.85,37.51165,-77.395234
87.57,37.529796,-77.400627
641.04,37.476462,-77.437876
217.27,37.517167,-77.454514
284.9,37.579868,-77.424343
1107.17,37.543136,-77.407853
380.24,37.595251,-77.450504
2017.49,37.553704,-77.420009
774.61,37.51712,-77.44923
1346.61,37.541494,-77.530116
526.04,37.548309,-77.413645
28.2,37.552477,-77.545222
63.24,37.532281,-77.399352
1727.01,37.532878,-77.401048
386.79,37.470363,-77.479704
1426.14,37.491365,-77.47661
875.3,37.485578,-77.444852
379.54,37.534167,-77.403486
105.74,37.577443,-77.425608
279.68,37.492256,-77.444679
35.97,37.50594,-77.459037
1460.38,37.499091,-77.461587
711.43,37.462339,-77.446231
806.04,37.506728,-77.4642
650.51,37.578074,-77.427002
379.54,37.538926,-77.408979
68.63,37.548732,-77.421798
1784.26,37.547293,-77.411602
1745.98,37.508227,-77.463407
30.14,37.493423,-77.44051
1441.93,37.522732,-77.510382
834.3,37.530993,-77.469046
1989.09,37.516646,-77.447862
1089.54,37.569781,-77.410555
137.02,37.548105,-77.409469
542.43,37.517024,-77.457322
217.27,37.504693,-77.467385
30.6,37.54647,-77.410382
1038.04,37.561467,-77.454998
826.03,37.53327,-77.403879
158.08,37.50766,-77.448597
1922.55,37.575552,-77.437147
446.55,37.537802,-77.414495
530.21,37.493689,-77.437022
30.93,37.486403,-77.510691
2116.86,37.487038,-77.499079
466.85,37.540759,-77.433932
329.54,37.485606,-77.49246
739.81,37.550294,-77.412408
1054.22,37.477613,-77.441486
125.46,37.512465,-77.459165
1847.13,37.494208,-77.508919
102.82,37.48246,-77.441035
206.38,37.582518,-77.433601
204.32,37.493384,-77.441216
178.27,37.543752,-77.402925
1299.08,37.511118,-77.39525
1577.4,37.485867,-77.489744
3990.78,37.586871,-77.525431
1563.2,37.514613,-77.501896
1084.87,37.524256,-77.404778
437.65,37.542448,-77.412808
352.82,37.574058,-77.41794
1023.74,37.50107,-77.491751
39.54,37.555312,-77.438643
922.13,37.521596,-77.449666
1190.74,37.54692,-77.408526
1450.8,37.489737,-77.503017
220.51,37.502839,-77.437787
261.78,37.476142,-77.463242
234.56,37.514995,-77.449738
873.35,37.48195,-77.453684
297.54,37.509052,-77.443585
235.05,37.570522,-77.416254
257.76,37.549865,-77.406837
1817.94,37.513913,-77.512057
952.76,37.481845,-77.477574
466.05,37.512574,-77.461337
132.86,37.590218,-77.443826
93.08,37.537945,-77.412809
25.82,37.541289,-77.465533
1412.15,37.493295,-77.443177
1069.35,37.537841,-77.405731
672.77,37.537966,-77.409894
169.12,37.512058,-77.459053
981.16,37.54935,-77.411693
1714.56,37.540759,-77.433932
4901.13,37.568117,-77.415143
3133.56,37.559231,-77.423618
604.47,37.512058,-77.459053
158.94,37.562381,-77.453614
1861.32,37.519305,-77.40391
567.08,37.512574,-77.461337
392.74,37.530924,-77.397266
2506.57,37.568468,-77.416391
103.14,37.47959,-77.450959
255.05,37.539003,-77.410352
307.98,37.536006,-77.407476
345.06,37.517237,-77.456796
245.09,37.464532,-77.444898
11362.9,37.538319,-77.411011
51.72,37.536628,-77.403992
1866.54,37.516032,-77.40132
702.33,37.54633,-77.419074
283.25,37.544734,-77.410592
1271.38,37.538409,-77.405202
410.74,37.555931,-77.445558
81.72,37.551552,-77.448225
474.9,37.54833,-77.412319
2221.92,37.573731,-77.429062
360.13,37.466072,-77.439469
1071.81,37.465901,-77.446125
1066.33,37.579333,-77.42232
201.26,37.50208,-77.435797
150.57,37.472616,-77.438902
1776.96,37.576043,-77.427934
150.27,37.556032,-77.437108
77.69,37.532281,-77.399352
1037.94,37.561405,-77.453537
1302.04,37.510615,-77.467109
824.8,37.474015,-77.443722
2000.12,37.527722,-77.40397
1185.62,37.512541,-77.452275
191.2,37.579925,-77.428235
233.31,37.470986,-77.442752
180.57,37.532281,-77.399352
62.09,37.473057,-77.441578
1300.79,37.559785,-77.433906
592.42,37.540759,-77.433932
720.6,37.499375,-77.458476
785.5,37.533986,-77.532694
698.32,37.558428,-77.433934
1482.91,37.533049,-77.400117
1449.64,37.485803,-77.50423
2979.38,37.571507,-77.448098
182.35,37.513203,-77.462857
861.02,37.51328,-77.512652
1483.84,37.590396,-77.438717
1750.6,37.466336,-77.47328
1035.69,37.536266,-77.404335
1481.27,37.516476,-77.4477
1208.05,37.532517,-77.410827
73.82,37.48494,-77.438193
432.03,37.570603,-77.414293
1636.98,37.544789,-77.409132
2574.08,37.53048,-77.399846
2240.88,37.54124,-77.465386
422.03,37.545746,-77.399468
1319.1,37.573543,-77.425712
1634.19,37.569723,-77.416433
2281.96,37.579978,-77.419304
754.02,37.492343,-77.443169
194.27,37.547379,-77.418517
344.47,37.581673,-77.424558
185.17,37.518554,-77.450907
62.09,37.536025,-77.538457
86.79,37.475554,-77.474006
365.51,37.487993,-77.474163
3593.27,37.524481,-77.482492
770.55,37.520276,-77.508929
245.09,37.544534,-77.402172
753.91,37.515541,-77.448371
136.21,37.523324,-77.447822
819.22,37.574564,-77.41454
3261.6,37.545682,-77.470097
12.71,37.51571,-77.469885
2066.56,37.569934,-77.413141
1236.67,37.504918,-77.483659
1110.96,37.540918,-77.407126
9.75,37.570737,-77.484075
855.79,37.539856,-77.410975
1142.51,37.550924,-77.413235
494.61,37.481134,-77.458697
90.23,37.5689,-77.414284
288.26,37.481941,-77.447499
2033.78,37.510653,-77.513427
846.96,37.533152,-77.40552
308.47,37.514559,-77.445476
417.51,37.563079,-77.424773
245.09,37.549225,-77.407736
180.57,37.475442,-77.438922
3266.77,37.529271,-77.511365
277.55,37.499999,-77.443987
386.64,37.579721,-77.427118
1021.17,37.546154,-77.399604
1317.56,37.538318,-77.419669
471.3,37.591391,-77.441949
102.02,37.483483,-77.479236
270.63,37.466158,-77.445071
572.98,37.537195,-77.419561
1616.76,37.546745,-77.413297
1197.58,37.535317,-77.403813
94.86,37.501183,-77.440365
340.26,37.540506,-77.411788
547.88,37.510162,-77.397689
218.52,37.551839,-77.437422
1228.79,37.552183,-77.414521
178.54,37.511504,-77.463504
86.72,37.483849,-77.439427
1194.1,37.544705,-77.403422
476.87,37.569801,-77.410484
120.94,37.484767,-77.439231
1782.94,37.473452,-77.48387
31.13,37.512356,-77.459136
883.06,37.505051,-77.470713
121.64,37.511433,-77.396974
668.83,37.567007,-77.434432
36.89,37.545705,-77.411114
2060.07,37.523923,-77.49823
631.34,37.571122,-77.433934
143.02,37.511318,-77.463498
1245.18,37.516363,-77.449141
452.59,37.588876,-77.444691
70.74,37.535014,-77.405518
147.93,37.503127,-77.465895
2143.32,37.479214,-77.482471
1094.73,37.578588,-77.422888
3550.68,37.551351,-77.471767
782.4,37.50634,-77.462674
233.02,37.540759,-77.433932
1154.48,37.54013,-77.518736
153.07,37.57738,-77.413875
509.11,37.577885,-77.417995
1209.05,37.514562,-77.404891
412.41,37.499999,-77.443987
699.35,37.550626,-77.416143
776.25,37.500494,-77.43917
281.67,37.570785,-77.421881
1798.45,37.570801,-77.424667
128.5,37.480284,-77.441965
2878.86,37.553961,-77.417992
914.22,37.487511,-77.442562
409.27,37.477847,-77.452198
333.84,37.511055,-77.461323
1410.64,37.502541,-77.512806
1372.08,37.477309,-77.446322
2219.12,37.568955,-77.443004
137.53,37.53956,-77.411271
384.71,37.577919,-77.419404
1712.8,37.502754,-77.46458
222.74,37.569801,-77.410484
334.63,37.503766,-77.438279
1442.72,37.465093,-77.477642
768.21,37.477308,-77.446285
30,37.542425,-77.468763
113.43,37.577443,-77.425608
1636.83,37.476455,-77.441974
265.05,37.508279,-77.398392
191.2,37.5733,-77.415531
1683.28,37.518687,-77.500189
265.05,37.537449,-77.403216
5907.28,37.556712,-77.53387
930.59,37.552688,-77.419688
1112.18,37.569841,-77.413433
255.05,37.576811,-77.424411
105.74,37.554336,-77.414926
73.55,37.56092,-77.422301
32.31,37.533068,-77.42213
862.36,37.513569,-77.453472
102.02,37.555409,-77.441499
1705.16,37.520333,-77.445066
924.37,37.485514,-77.440987
335.09,37.535919,-77.401775
526.87,37.551543,-77.447321
294.2,37.576908,-77.425637
3501.2,37.552323,-77.450895
1407.41,37.493339,-77.474407
1392.85,37.506846,-77.471495
938.56,37.476138,-77.436738
1317.2,37.537627,-77.41452
281.49,37.540759,-77.433932
793.07,37.466149,-77.445229
73.14,37.484767,-77.439231
3480.6,37.538025,-77.522418
1991.68,37.516841,-77.455379
84.85,37.588772,-77.526397
36.57,37.557736,-77.424782
194.54,37.562077,-77.453163
392.74,37.511433,-77.396974
6498.79,37.567112,-77.434233
2933.57,37.547898,-77.456576
648.06,37.539226,-77.407248
56.12,37.482475,-77.486143
194.54,37.512212,-77.463481
3068.97,37.484685,-77.474152
1252.52,37.543768,-77.462109
214.6,37.493591,-77.438175
194.27,37.516951,-77.457502
297.54,37.508287,-77.398604
166.84,37.578527,-77.417491
38995.95,37.547325,-77.437527
34.09,37.541883,-77.409089
54.55,37.549704,-77.432476
1009.96,37.509886,-77.476966
47.32,37.539195,-77.521309
1350.67,37.506381,-77.464739
131.6,37.550519,-77.433179
724.02,37.53327,-77.403879
59.17,37.568513,-77.4157
1654.61,37.541455,-77.416617
1662.58,37.509456,-77.465862
37.19,37.515593,-77.458437
356.52,37.515248,-77.447655
3070.48,37.533086,-77.41601
1787.08,37.512793,-77.446592
86.09,37.498993,-77.514433
366.36,37.519146,-77.438306
1104.75,37.592282,-77.439927
255.05,37.542134,-77.403047
245.09,37.562077,-77.453163
1714.85,37.492274,-77.444378
3458.31,37.54486,-77.470595
597.86,37.574456,-77.413439
86.64,37.546344,-77.419108
1575.75,37.54532,-77.415471
474.45,37.517049,-77.4447
594.11,37.554639,-77.45135
11579.77,37.564972,-77.456924
1118.08,37.579886,-77.423839
185.17,37.555293,-77.43793
194.27,37.561031,-77.474277
137.02,37.508369,-77.396501
3795,37.571639,-77.523706
2977.35,37.487437,-77.463142
128.94,37.530422,-77.400181
2015.62,37.531112,-77.407866
567.89,37.524744,-77.403655
1632.77,37.480159,-77.492435
1492.22,37.51841,-77.445121
1100.03,37.542599,-77.41553
533.99,37.468933,-77.440671
4058.27,37.548708,-77.549319
5791.5,37.54515,-77.588377
583.65,37.461715,-77.446108
1290.77,37.545694,-77.418496
67.64,37.548782,-77.421682
256.44,37.512734,-77.465272
1024.84,37.577719,-77.427783
104.55,37.576482,-77.423864
63.48,37.572067,-77.508211
853.39,37.548091,-77.416225
1094.73,37.512771,-77.446626
8820.27,37.461754,-77.49137
85.09,37.554985,-77.441031
35.48,37.546391,-77.438667
194.27,37.546336,-77.41482
23.64,37.532612,-77.417892
450.21,37.561837,-77.421582
61.42,37.466072,-77.439469
347.9,37.56644,-77.447481
186.33,37.555409,-77.441499
992.51,37.516951,-77.457502
353.47,37.550794,-77.448307
886.28,37.492699,-77.478628
2353.43,37.571111,-77.435126
324.74,37.523324,-77.447822
230.43,37.572209,-77.419393
2070.42,37.53481,-77.399824
948.26,37.47971,-77.433947
294.2,37.579925,-77.428235
1567.16,37.515541,-77.448371
212.39,37.481886,-77.463107
960.76,37.551027,-77.410631
457.97,37.518688,-77.393294
568.32,37.555683,-77.451204
1503.7,37.488884,-77.481023
2501.21,37.571871,-77.413733
85.19,37.549652,-77.431166
297.55,37.550061,-77.407673
454.49,37.539635,-77.411196
1878.83,37.538734,-77.471655
131.02,37.518554,-77.450907
3050.58,37.552064,-77.428805
1632.11,37.518359,-77.401033
1465.28,37.578877,-77.508948
847.38,37.576889,-77.418778
326.9,37.535472,-77.429726
2077.68,37.567172,-77.440557
67.64,37.552729,-77.419396
420.81,37.575011,-77.432475
330.67,37.464259,-77.448198
97.74,37.468446,-77.439714
759.1,37.533986,-77.532694
201.26,37.5084,-77.446576
105.39,37.591111,-77.438274
1747.75,37.571231,-77.420939
2853.3,37.513739,-77.448156
800.16,37.515191,-77.449936
5460.58,37.584363,-77.453166
1627.81,37.508946,-77.475744
2528.55,37.541469,-77.533201
2655.02,37.569444,-77.420255
233.02,37.549914,-77.407031
1239.98,37.513768,-77.400617
756.09,37.529924,-77.401825
95.82,37.563439,-77.416813
455.77,37.552927,-77.413368
2370.28,37.536485,-77.469487
2128.32,37.572229,-77.435027
706.94,37.542249,-77.401467
1960.7,37.534095,-77.399286
35.69,37.582705,-77.422192
33.29,37.49927,-77.515591
1271.69,37.504171,-77.445396
28.2,37.482506,-77.471934
292.54,37.544332,-77.402365
61.05,37.548712,-77.421888
1745.62,37.511209,-77.464717
1030.41,37.474129,-77.443734
593.17,37.537195,-77.419561
2796.35,37.51527,-77.400446
46.72,37.529263,-77.413954
